description,headquarters,homepage,id,logo_path,name,origin_country,parent_company
"","Potsdam, Germany","http,//www.studiobabelsberg.com",264,"/fA90qwUKgPhMONqtwY60GaHRyrW.png","Studio Babelsberg","DE",null
"","","",265,null,"Runteam","GB",null
"","","",266,null,"Agencja Produkcji Filmowej","PL",null
"","","",267,null,"Beverly Detroit",null,null
"","","",268,null,"FilmFernsehFonds Bayern","DE",null
"","","",269,null,"Filmboard Berlin-Brandenburg (FBB)","DE",null
"","","",270,null,Filmförderanstalt (FFA),null,null
"","","",271,null,"Mainstream S.A.",null,null
"","","",272,"/5dWI6BucpMxcUdwhp2YfyGtqUPB.png","Spelling Entertainment","US",null
"","","",273,null,"Tatira-Hiller Productions",null,null
"","","",274,null,"Discovery Docs",null,null
"","","",276,null,"Guber/Peters Company",null,null
"","","",277,null,"Roven Productions",null,null
"","","",278,null,"Propaganda Films",null,null
"","","",279,null,"Single Cell Pictures",null,null
"","Montréal, Québec","http,//www.cinemaginaire.com/en",280,"/1rwkrpgsc0pWmkvEOabbPzEsGLi.png","Cinémaginaire","CA",null
"","","",282,null,"Bookshop Productions",null,null
"","","",283,null,"Notting Hill Pictures",null,null
"","London, England","https,//www.dnafilms.com",284,null,"DNA Films","GB",null
"","","",285,null,"Live Entertainment",null,null
"","","",286,null,"Fantasy Films",null,null
"","London, United Kingdom","http,//www.bbc.co.uk/bbcfilms",288,"/wdmwQuV4R1MIr8A78izZkC184uC.png","BBC Films","GB",null
"","","",289,null,Ingenious Film Partners,null,null
"","London, England","http,//www.ingeniousmedia.co.uk",290,"/Q8mw2AOQQc8Qg0uNwLWq86DVZv.png","Ingenious Media","GB",null
"","","",291,null,"Perdido Prod.",null,null
"","","http,//www.235film.de/",292,null,"23/5 Filmproduktion","DE",null
"","","",293,null,"Avalon Studios",null,null
"","Wellington, New Zealand","https,//www.nzfilm.co.nz",294,"/3XuHM8TXG0gDdPM3xJI14gkZbQy.png","New Zealand Film Commission","NZ",null
"","Wellington","https,//www.nzonair.govt.nz",295,"/24lAsHZaGi4GzNrWzlkK60HLMBx.png","NZ on Air","NZ",null
"","","",296,null,"Filmakademie Baden-Württemberg",null,null
"","Bristol, England, United Kingdom","http,//www.aardman.com/",297,"/ykJbf1z5qIreJrHWfnh1ev1alkD.png","Aardman Animations","GB",null
"","","",298,null,"Carlyle Production",null,null
"","","http,//www.imcine.gob.mx",299,"/elssmtHcogGtF8Gxokh9phZvLKi.png","Instituto Mexicano de Cinematografía","MX",null
"","Mexico City","http,//www.alamedafilms.com/english/Alameda_Films.html",300,"/8DErUAEZtHxaDTiw4elzw32AYhT.png","Alameda Films","MX",null
"","","",301,null,"Cinecolor-México",null,null
"","","",302,null,"Ibermedia",null,null
"","","",303,null,"Cinecolor-Argentina",null,null
"","","",304,null,"Artcam y Fonds Sud Cinéma",null,null
"","","",306,null,Twentieth Century Fox Film Corporation,null,null
"","New York City, New York, USA","http,//www.ifcfilms.com",307,"/gUi3pAUznQJpR296lw4mSVbB7zx.png","IFC Films","US",null
"","Hudson Street, New York, United States","http,//weinsteinco.com/",308,"/vie3EehCIkH4TYWcYEt13uk3puN.png","The Weinstein Company","US",null
"","","",309,null,"Angoa-Agicoa",null,null
"","Paris, France","http,//www.cnc.fr",310,"/h4ZJb3wnffXHeeU6mtcldII84fo.png","Centre National de la Cinématographie","FR",null
"","Paris","http,//www.procirep.fr",311,"/cCmkG1WCGLWGwGvbdygtGSmclHq.png","PROCIREP","FR",null
"","","",312,null,"Soficinéma",null,null
"","","",313,null,"TS Productions",null,null
"","","",314,null,"Uni Etoile 2",null,null
"","","",315,"/hdu0sVxgtCuQud0xF8ZBiN7hEhY.png","Filmstiftung Nordrhein-Westfalen","DE",null
"","Provo, Utah","",316,null,"Wildwood Enterprises","US",null
"","Roma","http,//www.cinecitta.com",317,"/HJj0J9Tk6AGcLpL4O7mI3bsccM.png","Istituto Luce Cinecittà","IT",null
"","","http,//ctb.ru/en/",318,"/q0UG4oZERwIywJdDPF4lRlvdYGW.png","CTB Film Company","RU",null
